1,0.511318,30.7815,0.563128,16.2846
2,0.319467,32.6536,0.560038,14.8416
3,0.257396,31.4469,0.563293,21.835
4,0.248677,30.5845,0.566813,14.5159
5,0.271683,34.1506,0.569025,21.2296
6,0.240255,33.0907,0.554996,20.0014
7,0.29773,33.5387,0.556701,16.7036
8,0.337272,33.8169,0.555656,21.5826
9,0.397875,34.1219,0.560337,14.1497
10,0.391264,37.3948,0.564197,14.1307
11,0.416634,42.592,0.44705,25.0618
12,0.487719,41.7495,0.443373,22.4351
13,0.408954,47.6571,0.443337,21.4799
14,0.468802,46.0241,0.445747,23.5446
15,0.810624,48.984,0.445078,23.4132
16,0.517358,62.6692,0.444752,21.8644
